title	link	guid	category	description	pubDate
Uttarakhand Board of Technical Education, Roorkee	http://ubter.in	http://ubter.in	Boards / Undertakings	Uttarakhand Board of Technical Education, Roorkee	Mon, 28 Mar 2011 12:00:00 +0530
Power Transmission Corporation of Uttarakhand Limited (PTCUL)	http://www.ptcul.org	http://www.ptcul.org	Boards / Undertakings	Power Transmission Corporation of Uttarakhand Limited (PTCUL)	Thu, 31 Mar 2011 12:00:00 +0530
State Water and Sanitation Mission, Uttarakhand	http://swsm.uk.gov.in	http://swsm.uk.gov.in	Commissions/Committees/Missions	State Water and Sanitation Mission, Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
Subordinate Service Selection Commission, Uttarakhand	http://www.sssc.uk.gov.in	http://www.sssc.uk.gov.in	Commissions/Committees/Missions	Subordinate Service Selection Commission, Uttarakhand 	Tue, 20 Oct 2015 12:00:00 +0530
Uttarakhand Handloom and Handicraft Development Council, Dehradun	http://uttarakhandcrafts.com	http://uttarakhandcrafts.com	Councils	Uttarakhand Handloom and Handicraft Development Council, Dehradun	Tue, 12 Apr 2011 12:00:00 +0530
State Council for Science and Technology, Uttarakhand	http://ucost.in	http://ucost.in	Councils	State Council for Science and Technology, Uttarakhand	Fri, 13 Jul 2007 12:00:00 +0530
ENVIS Centre on Wildlife and Protected Areas, Wildlife Institute of India, Dehradun	http://wiienvis.nic.in	http://wiienvis.nic.in	Regional/Field Offices	ENVIS Centre on Wildlife and Protected Areas, Wildlife Institute of India, Dehradun	Wed, 04 May 2011 12:00:00 +0530
Governor of Uttarakhand - Raj Bhavan, Dehradun	http://governoruk.gov.in	http://governoruk.gov.in	Governor&#039;s Office(Raj Bhavan)	Governor of Uttarakhand - Raj Bhavan, Dehradun	Wed, 15 Sep 2010 12:00:00 +0530
Chief Minister of  Uttarakhand	http://cm.uk.gov.in	http://cm.uk.gov.in	Chief Minister&#039;s Office	Chief Minister of  Uttarakhand	Wed, 20 Jun 2007 12:00:00 +0530
Uttaranchal Forest Development Corporation (UAFDC), Uttarakhand	http://www.uafdc.in	http://www.uafdc.in	Statutory Bodies	Uttaranchal Forest Development Corporation (UAFDC), Uttarakhand	Fri, 14 Dec 2001 12:00:00 +0530
Official Portal of Uttarakhand Government 	http://www.uk.gov.in	http://www.uk.gov.in	Official Portal of State Government	Official Portal of Uttarakhand Government 	Wed, 07 Jul 2010 12:00:00 +0530
Uttarakhand Urban Sector Development Investment Program (UUSDIP)	http://www.uusdip.org	http://www.uusdip.org	Schemes / Programmes and Missions	Uttarakhand Urban Sector Development Investment Program (UUSDIP)	Mon, 27 Aug 2012 12:00:00 +0530
Online Bus Booking - Uttarakhand Transport Corporation	https://utconline.uk.gov.in	https://utconline.uk.gov.in	Schemes / Programmes and Missions	Online Bus Booking - Uttarakhand Transport Corporation	Tue, 24 Mar 2015 12:00:00 +0530
Online Services of Directorate of Industries, Government of Uttarakhand	http://onlineservices.doiuk.org	http://onlineservices.doiuk.org	Schemes / Programmes and Missions	Provides online services across india for filling Entrepreneur Memorandum Part I for proposed entrepreneurs.	Sat, 09 Apr 2011 12:00:00 +0530
Samadhan - Grievance Redressal, Uttarakhand	http://samadhan.uk.gov.in	http://samadhan.uk.gov.in	Schemes / Programmes and Missions	Samadhan - Grievance Redressal, Uttarakhand	Tue, 29 Jan 2013 12:00:00 +0530
e - District, Uttarakhand	http://edistrict.uk.gov.in	http://edistrict.uk.gov.in	Schemes / Programmes and Missions	e - District, Uttarakhand	Tue, 12 Aug 2014 12:00:00 +0530
State School Education Portal, Uttarakhand	http://educationportal.uk.gov.in	http://educationportal.uk.gov.in	Schemes / Programmes and Missions	State School Education Portal, Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
eScholarship of Social Welfare Department, Uttarakhand	http://escholarship.uk.gov.in	http://escholarship.uk.gov.in	Schemes / Programmes and Missions	eScholarship of Social Welfare Department, Uttarakhand	Wed, 25 Mar 2015 12:00:00 +0530
Swajal Project, Uttarakhand	http://swajal.uk.gov.in	http://swajal.uk.gov.in	Schemes / Programmes and Missions	Swajal Project, Uttarakhand	Wed, 27 Apr 2011 12:00:00 +0530
Uttarakhand Government Orders	http://go.uk.gov.in	http://go.uk.gov.in	Schemes / Programmes and Missions	Uttarakhand Government Orders	Tue, 26 Apr 2011 12:00:00 +0530
Uttarakhand Space Application Centre, Dehradun	http://www.u-sac.in	http://www.u-sac.in	Schemes / Programmes and Missions	Uttarakhand Space Application Centre, Dehradun	Wed, 27 Apr 2011 12:00:00 +0530
State Public Services Tribunal, Uttarakhand	http://ukpst.uk.gov.in	http://ukpst.uk.gov.in	Schemes / Programmes and Missions	State Public Services Tribunal, Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
eSPAN - Social Security Pension Application, Uttarakhand	http://ssp.uk.gov.in	http://ssp.uk.gov.in	Schemes / Programmes and Missions	eSPAN - Social Security Pension Application, Uttarakhand	Tue, 23 Sep 2014 12:00:00 +0530
Core Treasury System (CTS), Uttarakhand	http://ekosh.uk.gov.in	http://ekosh.uk.gov.in	Schemes / Programmes and Missions	Core Treasury System (CTS), Uttarakhand 	Mon, 25 Apr 2011 12:00:00 +0530
State Rural Livelihood Mission, Uttarakhand	http://usrlm.uk.gov.in	http://usrlm.uk.gov.in	Schemes / Programmes and Missions	State Rural Livelihood Mission, Uttarakhand	Tue, 20 Oct 2015 12:00:00 +0530
Tenders Uttarakhand, e - Procurement System	https://uktenders.gov.in	https://uktenders.gov.in	Schemes / Programmes and Missions	Tenders Uttarakhand, e - Procurement System	Mon, 30 Jun 2014 12:00:00 +0530
Uttarakhand Public Private Partnership Cell	http://cell.upppc.org	http://cell.upppc.org	Schemes / Programmes and Missions	Uttarakhand Public Private Partnership Cell	Wed, 27 Apr 2011 12:00:00 +0530
Uttarakhand Disaster Management and Relief Measures	http://dms.uk.gov.in	http://dms.uk.gov.in	Schemes / Programmes and Missions	Uttarakhand Disaster Management and Relief Measures	Fri, 21 Jun 2013 12:00:00 +0530
Devbhoomi - Uttarakhand Land Records	http://devbhoomi.uk.gov.in	http://devbhoomi.uk.gov.in	Schemes / Programmes and Missions	Devbhoomi - Uttarakhand Land Records	Fri, 21 Feb 2014 12:00:00 +0530
Chief Development Office, Dehradun, Uttarakhand	http://cdodoon.gov.in	http://cdodoon.gov.in	Divisions / Units / Wings	Chief Development Office, Dehradun, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Uttarakhand Judicial and Legal Academy	http://ujala.uk.gov.in	http://ujala.uk.gov.in	Divisions / Units / Wings	Uttarakhand Judicial and Legal Academy	Thu, 20 Feb 2014 12:00:00 +0530
Garhwal Division, Uttarakhand	http://garhwal.uk.gov.in	http://garhwal.uk.gov.in	Divisions / Units / Wings	Garhwal Division, Uttarakhand	Wed, 24 Sep 2014 12:00:00 +0530
Kumaon Division, Uttarkhand	http://kumaon.gov.in	http://kumaon.gov.in	Divisions / Units / Wings	Kumaon Division, Uttarkhand	Wed, 15 Apr 2009 12:00:00 +0530
National Cadet Corps Directorate, Government of Uttarakhand	http://nccdte.uk.gov.in	http://nccdte.uk.gov.in	Divisions / Units / Wings	National Cadet Corps Directorate, Government of Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
State Election Commission (SEC), Uttarakhand	http://sec.uk.gov.in	http://sec.uk.gov.in	State Election Comission	State Election Commission (SEC), Uttarakhand	Mon, 04 Oct 2010 12:00:00 +0530
Nagar Nigam, Dehradun, Uttarakhand	http://nagarnigamdehradun.com	http://nagarnigamdehradun.com	Municipal Corporations	Nagar Nigam, Dehradun, Uttarakhand	Wed, 27 Apr 2011 12:00:00 +0530
Sugam Sewa - Online Citizen Services Portal, Uttarakhand	http://sugamsewa.uk.gov.in	http://sugamsewa.uk.gov.in	Online Citizen Services Portal	Sugam Sewa - Online Citizen Services Portal, Uttarakhand	Fri, 10 Oct 2014 12:00:00 +0530
Uttarkhand public Service Commission	http://ukpsc.gov.in	http://ukpsc.gov.in	State Public Service Commission	Uttarkhand Public Service Commission, Haridwar	Wed, 15 Apr 2009 12:00:00 +0530
State Consumer Disputes Redressal Comission, Uttarakhand	http://scdrc.uk.gov.in	http://scdrc.uk.gov.in	State Consumer Disputes Redressal Commission	State Consumer Disputes Redressal Comission, Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
Uttarakhand Electricity Regulatory Commission	http://www.uerc.gov.in	http://www.uerc.gov.in	State Electricity Regulatory Commission	Uttarakhand Electricity Regulatory Commission	Tue, 10 Jun 2008 12:00:00 +0530
Legislative Assembly (Vidhan Sabha), Uttarakhand	http://ukvidhansabha.uk.gov.in	http://ukvidhansabha.uk.gov.in	State Legislative Assemblies	Legislative Assembly (Vidhan Sabha), Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Tehri Garhwal District, Uttarakhand	http://tehri.gov.in	http://tehri.gov.in	Departments	Tehri Garhwal District, Uttarakhand	Thu, 12 Sep 2002 12:00:00 +0530
Uttarkashi District, Uttarakhand	http://uttarkashi.gov.in	http://uttarkashi.gov.in	Departments	Uttarkashi District, Uttarakhand	Wed, 11 Sep 2002 12:00:00 +0530
Advanced Training Institute for Electronics and Process Instrumentation, Dehradun	http://atiepidehradun.gov.in	http://atiepidehradun.gov.in	Departments	Advanced Training Institute for Electronics and Process Instrumentation, Dehradun	Fri, 03 Mar 2006 12:00:00 +0530
Commercial Taxes Department, Uttarakhand	http://comtax.uk.gov.in	http://comtax.uk.gov.in	Departments	Commercial Taxes Department, Uttarakhand	Tue, 26 Apr 2011 12:00:00 +0530
Transport Department, Uttarakhand	http://transport.uk.gov.in	http://transport.uk.gov.in	Departments	Transport Department, Uttarakhand	Tue, 26 Apr 2011 12:00:00 +0530
Medical Health and Family Welfare Department, Uttarakhand 	http://health.uk.gov.in	http://health.uk.gov.in	Departments	Medical Health and Family Welfare Department, Uttarakhand 	Fri, 22 Jun 2007 12:00:00 +0530
Agriculture Department, Uttarakhand	http://agriculture.uk.gov.in	http://agriculture.uk.gov.in	Departments	Agriculture Department, Uttarakhand	Tue, 19 Mar 2013 12:00:00 +0530
Vigilance Establishment, Uttarakhand	http://vigilance.uk.gov.in	http://vigilance.uk.gov.in	Departments	Vigilance Establishment, Uttarakhand	Mon, 25 Mar 2013 12:00:00 +0530
Indian Institute of Remote Sensing (IIRS)	http://www.iirs.gov.in	http://www.iirs.gov.in	Departments	Indian Institute of Remote Sensing (IIRS)	Thu, 17 Jun 2004 12:00:00 +0530
Employment and Training Department, Uttarakhand	http://rojgar.uk.gov.in	http://rojgar.uk.gov.in	Departments	Employment and Training Department, Uttarakhand	Wed, 30 Mar 2011 12:00:00 +0530
Uttarakhand Police	http://uttarakhandpolice.uk.gov.in	http://uttarakhandpolice.uk.gov.in	Departments	Official Website of Uttarakhand Police	Fri, 11 Jan 2013 12:00:00 +0530
Rural Development Department, Uttarakhand	http://ukrd.uk.gov.in	http://ukrd.uk.gov.in	Departments	Rural Development Department, Uttarakhand	Fri, 25 Feb 2000 12:00:00 +0530
Vivekananda Parvatiya Krishi Anusandhan Sansthan (VPKAS)	http://vpkas.nic.in	http://vpkas.nic.in	Departments	Vivekananda Parvatiya Krishi Anusandhan Sansthan (VPKAS)	Mon, 06 Oct 2003 12:00:00 +0530
Indira Gandhi National Forest Academy (IGNFA)	http://www.ignfa.gov.in	http://www.ignfa.gov.in	Departments	Indira Gandhi National Forest Academy	Thu, 28 Oct 2004 12:00:00 +0530
Dehradun District, Uttarakhand	http://dehradun.gov.in	http://dehradun.gov.in	Departments	Dehradun District, Uttarakhand	Wed, 11 Sep 2002 12:00:00 +0530
Forest Department, Uttarakhand	http://forest.uk.gov.in	http://forest.uk.gov.in	Departments	Forest Department, Uttarakhand	Wed, 27 Apr 2011 12:00:00 +0530
Dairy Development Department, Uttarakhand	http://dairyvikasuttarakhand.org	http://dairyvikasuttarakhand.org	Departments	Dairy Development Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Department of Entertainment Tax, Uttarakhand	http://enttax.uk.gov.in	http://enttax.uk.gov.in	Departments	Official Website of Department of Entertainment Tax, Uttarakhand	Sat, 23 Mar 2013 12:00:00 +0530
Accounts  and  Entitlement Department, Uttarakhand	http://ae.uk.gov.in	http://ae.uk.gov.in	Departments	Accounts & Entitlement Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Town and Country Planning Department, Uttarakhand 	http://tcp.uk.gov.in	http://tcp.uk.gov.in	Departments	Town and Country Planning Department, Uttarakhand 	Thu, 20 Feb 2014 12:00:00 +0530
Sports Department, Uttarakhand	http://sports.uk.gov.in	http://sports.uk.gov.in	Departments	Sports Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Social Welfare Department, Uttarakhand	http://socialwelfare.uk.gov.in	http://socialwelfare.uk.gov.in	Departments	Social Welfare Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Sericulture Department, Uttarakhand	http://silk.uk.gov.in	http://silk.uk.gov.in	Departments	Sericulture Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Medical Education Department, Uttarakhand	http://medicaleducation.uk.gov.in	http://medicaleducation.uk.gov.in	Departments	Medical Education Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Information Technology Development Ageny (ITDA), Dehradun, Uttarakhand	http://itda.uk.gov.in	http://itda.uk.gov.in	Departments	Information Technology Development Ageny (ITDA), Dehradun, Uttarakhand	Wed, 27 Apr 2011 12:00:00 +0530
Information Department, Uttarakhand	http://uttarainformation.gov.in	http://uttarainformation.gov.in	Departments	Information Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Labour Department, Uttarakhand	http://labour.uk.gov.in	http://labour.uk.gov.in	Departments	Labour Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Twenty Point Programme, Government Of Uttarakhand	http://20pt.uk.gov.in	http://20pt.uk.gov.in	Departments	Twenty Point Programme, Government Of Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Higher Education Department, Uttarakhand	http://he.uk.gov.in	http://he.uk.gov.in	Departments	Higher Education Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Fisheries Department, Uttarakhand	http://fisheriesuk.org	http://fisheriesuk.org	Departments	Fisheries Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Chief Electoral Officer (CEO), Uttarakhand	http://ceo.uk.gov.in	http://ceo.uk.gov.in	Departments	Chief Electoral Officer (CEO), Uttarakhand	Wed, 27 Jun 2012 12:00:00 +0530
Rural Engineering Service Department, Uttarakhand,	http://res.uk.gov.in	http://res.uk.gov.in	Departments	Rural Engineering Service Department, Uttarakhand,	Thu, 20 Feb 2014 12:00:00 +0530
Disaster Management and Rehabilitation Department, Uttarakhand	http://dmmc.uk.gov.in	http://dmmc.uk.gov.in	Departments	Disaster Management and Rehabilitation Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Uttarakhand Jal Sansthan Department, Uttarakhand	http://ujs.uk.gov.in	http://ujs.uk.gov.in	Departments	Uttarakhand Jal Sansthan Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Budget Department, Uttarakhand	http://budget.uk.gov.in	http://budget.uk.gov.in	Departments	Budget Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Renewable Energy Development Department, Uttarakhand 	http://ureda.uk.gov.in	http://ureda.uk.gov.in	Departments	Renewable Energy Development Department, Uttarakhand 	Thu, 20 Feb 2014 12:00:00 +0530
Stamps and Registration Department, Uttarakhand	http://registration.uk.gov.in	http://registration.uk.gov.in	Departments	Stamps and Registration Department, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Excise Department, Uttarakhand	http://excise.uk.gov.in	http://excise.uk.gov.in	Departments	Excise Department, Uttarakhand	Tue, 18 Feb 2014 12:00:00 +0530
Almora District, Uttarakhand	http://almora.gov.in	http://almora.gov.in	Departments	Almora District, Uttarakhand	Fri, 25 Feb 2000 12:00:00 +0530
National Institute of Hydrology (NIH), Roorkee	http://nihroorkee.gov.in	http://nihroorkee.gov.in	Departments	National Institute of Hydrology (NIH), Roorkee	Tue, 10 Jul 2001 12:00:00 +0530
State Horticulture Mission, Uttarakhand	http://shm.uk.gov.in	http://shm.uk.gov.in	Departments	State Horticulture Mission, Uttarakhand	Thu, 20 Feb 2014 12:00:00 +0530
Tehri Hydro Development Corporation (THDC)	http://thdc.gov.in	http://thdc.gov.in	Departments	Tehri Hydro Development Corporation (THDC)	Fri, 26 Jul 2002 12:00:00 +0530
Animal Husbandry and Dairy Development Department, Uttarakhand	http://ahd.uk.gov.in	http://ahd.uk.gov.in	Departments	Animal Husbandry and Dairy Development Department, Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
Irrigation Department, Uttarakhand	http://www.uttarakhandirrigation.com	http://www.uttarakhandirrigation.com	Departments	Irrigation Department, Uttarakhand	Tue, 18 Nov 2014 12:00:00 +0530
Indian Council of Forestry Research and Education (ICFRE)	http://icfre.gov.in	http://icfre.gov.in	Departments	Indian Council of Forestry Research and Education (ICFRE)	Mon, 01 Mar 2004 12:00:00 +0530
Indian Medicines Pharmaceutical Corporation Limited (IMPCL)	http://www.impclmohan.nic.in	http://www.impclmohan.nic.in	Departments	Indian Medicines Pharmaceutical Corporation Limited (IMPCL)	Fri, 28 Oct 2005 12:00:00 +0530
Aryabhatta Research Institute of Observational Sciences (ARIES)	http://www.aries.res.in	http://www.aries.res.in	Departments	Aryabhatta Research Institute of Observational Sciences (ARIES)	Mon, 23 Nov 2009 12:00:00 +0530
Women Empowerment and Child Development Department, Uttarakhand	http://wecd.uk.gov.in	http://wecd.uk.gov.in	Departments	Women Empowerment and Child Development Department, Uttarakhand	Wed, 19 Feb 2014 12:00:00 +0530
Wadia Institute of Himalayan Geology, Dehradun, Uttarakhand	http://www.wihg.res.in	http://www.wihg.res.in	Departments	Wadia Institute of Himalayan Geology, Dehradun, Uttarakhand	Mon, 10 Nov 2003 12:00:00 +0530
Indian Institute of Petroleum (IIP)	http://www.iip.res.in	http://www.iip.res.in	Departments	Indian Institute of Petroleum (IIP)	Wed, 04 Oct 2000 12:00:00 +0530
